Month,Avg_LaeqD,Avg_LaeqN
01,58.36774193548386,51.24838709677418
02,55.77241379310346,47.62413793103448
03,47.12580645161291,38.91935483870968
04,35.940000000000005,41.053333333333335
05,46.548387096774185,36.69354838709678
06,48.686666666666675,39.779999999999994
07,53.05806451612903,47.80322580645161
08,52.49032258064516,46.90967741935484
09,51.333333333333336,46.41333333333333
10,50.883870967741935,44.500000000000014
11,49.58666666666667,43.74333333333333
12,44.122580645161285,38.393548387096786
