Month,Avg_LaeqD,Avg_LaeqN
01,52.90645161290323,43.71290322580645
02,52.59285714285714,45.17857142857143
03,52.66129032258065,44.819354838709664
04,49.803333333333335,41.686666666666675
05,53.3258064516129,46.75483870967741
06,53.43666666666666,46.63999999999999
07,53.054838709677426,46.60322580645161
08,52.564516129032256,46.46774193548386
09,53.516666666666666,46.883333333333326
10,53.632258064516144,46.39354838709677
11,50.86000000000001,42.806666666666665
12,52.13225806451613,44.52903225806452
